City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.0707,172.7902,82.2,65,86,16.04,overcast clouds
1,Kavieng,PG,-2.5744,150.7967,82.54,67,100,13.33,overcast clouds
2,Saint Cloud,US,45.5608,-94.1625,75.74,78,100,9.22,overcast clouds
3,Bluff,NZ,-46.6,168.3333,44.28,80,84,10.83,broken clouds
4,Severo-Kurilsk,RU,50.6789,156.125,48.88,80,12,10.89,few clouds
5,Yatou,CN,37.15,122.3833,65.53,92,20,5.86,few clouds
6,Saint-Philippe,RE,-21.3585,55.7679,69.39,86,60,15.03,light rain
7,Lebu,CL,-37.6167,-73.65,45.0,91,100,15.05,overcast clouds
8,Mataura,NZ,-46.1927,168.8643,38.12,90,27,1.92,scattered clouds
9,Airai,TL,-8.9266,125.4092,57.13,78,98,2.77,overcast clouds
10,Vaini,TO,-21.2,-175.2,75.36,83,20,4.61,few clouds
11,Puerto Del Rosario,ES,28.5004,-13.8627,76.75,69,20,23.02,few clouds
12,Ushuaia,AR,-54.8,-68.3,42.46,49,75,6.91,broken clouds
13,Avarua,CK,-21.2078,-159.775,77.05,69,20,19.57,few clouds
14,Dekar,BW,-21.5333,21.9333,67.6,14,0,9.01,clear sky
15,Puerto Ayora,EC,-0.7393,-90.3518,76.96,86,100,7.0,overcast clouds
16,Milledgeville,US,33.0801,-83.2321,84.09,55,0,6.6,clear sky
17,Alcanena,PT,39.459,-8.6689,76.91,99,26,7.16,scattered clouds
18,Dikson,RU,73.5069,80.5464,33.78,89,35,6.13,scattered clouds
19,Tasiilaq,GL,65.6145,-37.6368,41.16,85,100,11.95,light rain
20,Bredasdorp,ZA,-34.5322,20.0403,55.53,92,39,7.27,scattered clouds
21,Severnyy,RU,50.677,36.5532,59.04,88,0,6.71,clear sky
22,Nanortalik,GL,60.1432,-45.2371,49.46,87,100,7.56,light rain
23,Rikitea,PF,-23.1203,-134.9692,72.45,68,0,11.97,clear sky
24,Dores Do Indaia,BR,-19.4633,-45.6017,82.17,44,41,4.81,scattered clouds
25,Grindavik,IS,63.8424,-22.4338,49.95,81,75,4.61,broken clouds
