City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Saint Cloud,US,75.74,overcast clouds,45.5608,-94.1625,Homewood Suites by Hilton St Cloud
5,Yatou,CN,65.53,few clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
6,Saint-Philippe,RE,69.39,light rain,-21.3585,55.7679,Le four à pain
10,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
11,Puerto Del Rosario,ES,76.75,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
13,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
14,Dekar,BW,67.6,clear sky,-21.5333,21.9333,
15,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
17,Alcanena,PT,76.91,scattered clouds,39.459,-8.6689,EUROSOL ALCANENA
23,Rikitea,PF,72.45,clear sky,-23.1203,-134.9692,People ThankYou
32,Kupang,ID,75.0,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
34,Surt,LY,79.75,clear sky,31.2089,16.5887,فندق المدينة
36,Souillac,MU,70.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
39,Bambous Virieux,MU,71.22,light rain,-20.3428,57.7575,Casa Tia Villa
46,Sao Filipe,CV,78.58,overcast clouds,14.8961,-24.4956,Hotel Xaguate
47,Herat,AF,67.55,clear sky,34.5,62.0,
48,Jamestown,US,78.06,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
49,Sale,MA,72.28,broken clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
55,Atuona,PF,76.41,broken clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
60,Isangel,VU,71.71,scattered clouds,-19.55,169.2667,Tanna Lodge
62,Porto Torres,IT,73.58,few clouds,40.835,8.3972,Hotel Elisa
63,Albany,US,70.03,scattered clouds,42.6001,-73.9662,
65,Mumford,GH,75.6,broken clouds,5.2618,-0.759,Spanish Villa
73,Kikwit,CD,77.07,broken clouds,-5.041,18.8162,HOTEL PLACE YALABA
75,East London,ZA,66.54,scattered clouds,-33.0153,27.9116,Tu Casa
76,Mar Del Plata,AR,69.82,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
77,Coruripe,BR,75.27,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
79,Suez,EG,74.98,clear sky,29.9737,32.5263,Green House
82,Lundazi,ZM,66.51,clear sky,-12.2929,33.1782,Knox Lodge
86,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
88,Faanui,PF,77.99,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
89,Caravelas,BR,76.57,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
93,Port Keats,AU,75.96,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
94,Kununurra,AU,69.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
95,Dingle,PH,74.71,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
98,Panguna,PG,66.27,few clouds,-6.3164,155.4848,
100,Matay,EG,79.21,clear sky,28.419,30.7792,Nag Aespen
104,Pokhara,NP,69.69,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
